date,close,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,return
2008-11-10,318.78,-12.36,-12.44,-23.46,-48.16,-27.71,-40.58,-40.91,-39.22,-49.97,-2.29625447017
2008-11-11,311.46,-7.32,-19.68,-19.76,-30.78,-55.48,-35.03,-47.9,-48.23,-46.54,-6.5690618378
2008-11-12,291.0,-20.46,-27.78,-40.14,-40.22,-51.24,-75.94,-55.49,-68.36,-68.69,7.2439862543
2008-11-13,312.08,21.08,0.62,-6.7,-19.06,-19.14,-30.16,-54.86,-34.41,-47.28,-0.660087157139
2008-11-14,310.02,-2.06,19.02,-1.44,-8.76,-21.12,-21.2,-32.22,-56.92,-36.47,-3.19334236501
2008-11-17,300.12,-9.9,-11.96,9.12,-11.34,-18.66,-31.02,-31.1,-42.12,-66.82,-0.899640143942
2008-11-18,297.42,-2.7,-12.6,-14.66,6.42,-14.04,-21.36,-33.72,-33.8,-44.82,-5.79651671038
2008-11-19,280.18,-17.24,-19.94,-29.84,-31.9,-10.82,-31.28,-38.6,-50.96,-51.04,-7.35955457206
2008-11-20,259.56,-20.62,-37.86,-40.56,-50.46,-52.52,-31.44,-51.9,-59.22,-71.58,1.10571736785
2008-11-21,262.43,2.87,-17.75,-34.99,-37.69,-47.59,-49.65,-28.57,-49.03,-56.35,-1.9014594368
2008-11-24,257.44,-4.99,-2.12,-22.74,-39.98,-42.68,-52.58,-54.64,-33.56,-54.02,9.55950901181
2008-11-25,282.05,24.61,19.62,22.49,1.87,-15.37,-18.07,-27.97,-30.03,-8.95,3.55965254388
2008-11-26,292.09,10.04,34.65,29.66,32.53,11.91,-5.33,-8.03,-17.93,-19.99,0.297853401349
2008-11-28,292.96,0.87,10.91,35.52,30.53,33.4,12.78,-4.46,-7.16,-17.06,-9.20603495358
2008-12-01,265.99,-26.97,-26.1,-16.06,8.55,3.56,6.43,-14.19,-31.43,-34.13,3.42870032708
2008-12-02,275.11,9.12,-17.85,-16.98,-6.94,17.67,12.68,15.55,-5.07,-22.31,1.57028097852
2008-12-03,279.43,4.32,13.44,-13.53,-12.66,-2.62,21.99,17.0,19.87,-0.75,-1.82156532942
2008-12-04,274.34,-5.09,-0.77,8.35,-18.62,-17.75,-7.71,16.9,11.91,14.78,3.51753298826
2008-12-05,283.99,9.65,4.56,8.88,18.0,-8.97,-8.1,1.94,26.55,21.56,6.38050635586
2008-12-08,302.11,18.12,27.77,22.68,27.0,36.12,9.15,10.02,20.06,44.67,1.27768031512
2008-12-09,305.97,3.86,21.98,31.63,26.54,30.86,39.98,13.01,13.88,23.92,0.931463869007
2008-12-10,308.82,2.85,6.71,24.83,34.48,29.39,33.71,42.83,15.86,16.73,-2.78479373098
2008-12-11,300.22,-8.6,-5.75,-1.89,16.23,25.88,20.79,25.11,34.23,7.26,5.17620411698
2008-12-12,315.76,15.54,6.94,9.79,13.65,31.77,41.42,36.33,40.65,49.77,-1.61198378515
2008-12-15,310.67,-5.09,10.45,1.85,4.7,8.56,26.68,36.33,31.24,35.56,4.702739241
2008-12-16,325.28,14.61,9.52,25.06,16.46,19.31,23.17,41.29,50.94,45.85,-3.08657156911
2008-12-17,315.24,-10.04,4.57,-0.52,15.02,6.42,9.27,13.13,31.25,40.9,-1.57340439031
2008-12-18,310.28,-4.96,-15.0,-0.39,-5.48,10.06,1.46,4.31,8.17,26.29,-0.035451849942
2008-12-19,310.17,-0.11,-5.07,-15.11,-0.5,-5.59,9.95,1.35,4.2,8.06,-4.21059419028
2008-12-22,297.11,-13.06,-13.17,-18.13,-28.17,-13.56,-18.65,-3.11,-11.71,-8.86,0.306283867928
2008-12-23,298.02,0.91,-12.15,-12.26,-17.22,-27.26,-12.65,-17.74,-2.2,-10.8,1.65425139252
2008-12-24,302.95,4.93,5.84,-7.22,-7.33,-12.29,-22.33,-7.72,-12.81,2.73,-0.854926555537
2008-12-26,300.36,-2.59,2.34,3.25,-9.81,-9.92,-14.88,-24.92,-10.31,-15.4,-0.978825409509
2008-12-29,297.42,-2.94,-5.53,-0.6,0.31,-12.75,-12.86,-17.82,-27.86,-13.25,1.91311949432
2008-12-30,303.11,5.69,2.75,0.16,5.09,6.0,-7.06,-7.17,-12.13,-22.17,1.497806077
2008-12-31,307.65,4.54,10.23,7.29,4.7,9.63,10.54,-2.52,-2.63,-7.59,4.44336096213
2009-01-02,321.32,13.67,18.21,23.9,20.96,18.37,23.3,24.21,11.15,11.04,2.09448524835
2009-01-05,328.05,6.73,20.4,24.94,30.63,27.69,25.1,30.03,30.94,17.88,1.83203779912
2009-01-06,334.06,6.01,12.74,26.41,30.95,36.64,33.7,31.11,36.04,36.95,-3.60713644256
2009-01-07,322.01,-12.05,-6.04,0.69,14.36,18.9,24.59,21.65,19.06,23.99,0.987546970591
2009-01-08,325.19,3.18,-8.87,-2.86,3.87,17.54,22.08,27.77,24.83,22.24,-3.11202681509
2009-01-09,315.07,-10.12,-6.94,-18.99,-12.98,-6.25,7.42,11.96,17.65,14.71,-0.755387691624
2009-01-12,312.69,-2.38,-12.5,-9.32,-21.37,-15.36,-8.63,5.04,9.58,15.27,0.5212830599
2009-01-13,314.32,1.63,-0.75,-10.87,-7.69,-19.74,-13.73,-7.0,6.67,11.21,-4.24726393484
2009-01-14,300.97,-13.35,-11.72,-14.1,-24.22,-21.04,-33.09,-27.08,-20.35,-6.68,-0.657872877695
2009-01-15,298.99,-1.98,-15.33,-13.7,-16.08,-26.2,-23.02,-35.07,-29.06,-22.33,0.227432355597
2009-01-16,299.67,0.68,-1.3,-14.65,-13.02,-15.4,-25.52,-22.34,-34.39,-28.38,-5.64621083192
2009-01-20,282.75,-16.92,-16.24,-18.22,-31.57,-29.94,-32.32,-42.44,-39.26,-51.31,7.19009725906
2009-01-21,303.08,20.33,3.41,4.09,2.11,-11.24,-9.61,-11.99,-22.11,-18.93,1.12841493995
2009-01-22,306.5,3.42,23.75,6.83,7.51,5.53,-7.82,-6.19,-8.57,-18.69,5.93800978793
2009-01-23,324.7,18.2,21.62,41.95,25.03,25.71,23.73,10.38,12.01,9.63,-0.255620572836
2009-01-26,323.87,-0.83,17.37,20.79,41.12,24.2,24.88,22.9,9.55,11.18,2.34970821626
